Format Version,1.21,Take Name,testrit 5 21-4,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-21 11.50.48 AM,Total Frames in Take,887,Total Exported Frames,887,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1)
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
0,0.000000,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
1,0.008333,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
2,0.016667,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
3,0.025000,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
4,0.033333,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
5,0.041667,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
6,0.050000,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
7,0.058333,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
8,0.066667,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
9,0.075000,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
10,0.083333,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
11,0.091667,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
12,0.100000,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
13,0.108333,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
14,0.116667,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
15,0.125000,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
16,0.133333,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
17,0.141667,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
18,0.150000,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
19,0.158333,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
20,0.166667,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
21,0.175000,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
22,0.183333,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
23,0.191667,0.007636,0.024378,-0.006329,-0.999654,-4.260374,0.115099,-0.248145,0.041384
