Format Version,1.21,Take Name,testrit 2 21-4 ,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-21 11.47.01 AM,Total Frames in Take,741,Total Exported Frames,741,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1)
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
54,0.450000,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
55,0.458333,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
56,0.466667,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
57,0.475000,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
58,0.483333,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
59,0.491667,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
60,0.500000,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
61,0.508333,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
62,0.516667,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
63,0.525000,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
64,0.533333,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
65,0.541667,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
66,0.550000,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
