Format Version,1.21,Take Name,testrit 4 21-4,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-21 11.48.20 AM,Total Frames in Take,833,Total Exported Frames,833,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1)
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
52,0.433333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
53,0.441667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
54,0.450000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
55,0.458333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
56,0.466667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
57,0.475000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
58,0.483333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
59,0.491667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
60,0.500000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
61,0.508333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
62,0.516667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
63,0.525000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
64,0.533333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
65,0.541667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
66,0.550000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
67,0.558333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
68,0.566667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
69,0.575000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
70,0.583333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
71,0.591667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
72,0.600000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
73,0.608333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
74,0.616667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
75,0.625000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
