Format Version,1.21,Take Name,testrit 1 21-4,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-21 11.45.39 AM,Total Frames in Take,692,Total Exported Frames,692,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1)
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
0,0.000000,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
1,0.008333,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
2,0.016667,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
3,0.025000,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
4,0.033333,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
5,0.041667,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
6,0.050000,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
7,0.058333,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
8,0.066667,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
9,0.075000,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
10,0.083333,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
11,0.091667,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
12,0.100000,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
13,0.108333,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
14,0.116667,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
15,0.125000,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
16,0.133333,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
17,0.141667,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
18,0.150000,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
19,0.158333,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
20,0.166667,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
21,0.175000,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
22,0.183333,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
23,0.191667,0.021029,0.085461,-0.003242,-0.996114,-4.401301,0.115389,-0.046741,0.040404
